MES;AÑO;FECHA_BL;NÚMERO_EMBARQUE;CÓDIGO_INCOTERMS;NÚMERO_CONTRATO;PROVEEDOR;PRODUCTO;BARRILES;COSTO_FOB;COSTO_FLETE;COSTO_SEGURO;COSTO_CIF;COSTO_CFR
1;2017;23/1/2017;012L462017;3;CI-11-2015;CARIB LPG TRADING;LPG;41595,23;1405285,74;345240,41;1152,01;1751678,16;1750526,15
1;2017;25/1/2017;013F032017;3;CI-08-2016;VITOL Inc.;FUEL OIL 3% S;189984,35;8774646,08;425564,94;6050,61;9206261,63;9200211,02
1;2017;27/1/2017;;0;;;GASOLINA RON 95;130114,07;8264835,4;218591,64;5579,21;8489006,25;8483427,04
1;2017;27/1/2017;014M012017;2;CI-20-2016;VALERO MARKETING & SUPPLY CO.;GASOLINA RON 91;130471,27;7811096,02;219191,73;5281,2;8035568,95;8030287,75
1;2017;29/1/2017;;0;;;JET FUEL;50119,41;3339180,27;84200,61;2251,42;3425632,3;3423380,88
1;2017;29/1/2017;015D012017;2;CI-20-2016;VALERO MARKETING & SUPPLY CO.;DIESEL 0.0015%S;294092,25;18377467,31;494074,98;12411,06;18883953,35;18871542,29
1;2017;31/1/2017;016L472017;3;CI-11-2015;CARIB LPG TRADING;LPG;32322,78;1282030,84;268279,07;1385,2;1551695,11;1550309,91
2;2017;3/2/2017;021L482017;3;CI-11-2015;CARIB LPG TRADING;LPG;48566,68;2015823,76;403103,44;1591,88;2420519,08;2418927,2
2;2017;4/2/2017;017A152017;2;CI-01-2016;ASPHALTOS TRADE S.A;ASFALTO AC-30;33046,59;1408880,86;245866,63;1478,51;1656226;1654747,49
2;2017;5/2/2017;;0;;;GASOLINA RON 95;120033,29;7431712,66;201655,93;5020,16;7638388,75;7633368,59
2;2017;5/2/2017;018M022017;2;CI-20-2016;VALERO MARKETING & SUPPLY CO.;GASOLINA RON 91;116064,37;6762161,41;194988,14;4575,44;6961724,99;6957149,55
2;2017;6/2/2017;;0;;;JET FUEL;70023,72;4690885,4;117639,85;3162,37;4811687,62;4808525,25
2;2017;9/2/2017;024L492017;3;CI-11-2015;CARIB LPG TRADING;LPG;32987,75;1323055,21;273798,33;1050,88;1597904,42;1596853,54
2;2017;10/2/2017;020D022017;2;CI-20-2016;VALERO MARKETING & SUPPLY CO.;DIESEL 0.0015%S;293789,49;18545775,96;185087,38;12318,54;18743181,88;18730863,34
2;2017;16/2/2017;023A162017;2;CI-01-2016;ASPHALTOS TRADE S.A;ASFALTO AC-30;32683,52;1456834,91;243165,39;1518,95;1701519,25;1700000,3
2;2017;16/2/2017;027L502017;3;CI-11-2015;CARIB LPG TRADING;LPG;45004,63;1714710,69;373538,43;1374,26;2089623,38;2088249,12
2;2017;17/2/2017;;0;;;GASOLINA RON 95;119908,96;7636905,17;201447,05;5154,97;7843507,19;7838352,22
2;2017;17/2/2017;;0;;;JET FUEL;50031,43;3374126,76;84052,8;2274,31;3460453,87;3458179,56
2;2017;17/2/2017;022M032017;2;CI-20-2016;VALERO MARKETING & SUPPLY CO.;GASOLINA RON 91;128932,86;7740819,06;216607,2;5233,28;7962659,54;7957426,26
2;2017;23/2/2017;097T012016;3;CI-12-2016;PUMA ENERGY;AV-GAS;938,4047619;88330,21;45324,72;87,9;133742,83;133654,93
2;2017;23/2/2017;025D032017;2;CI-20-2016;VALERO MARKETING & SUPPLY CO.;DIESEL 0.0015%S;302520,47;18988371,81;508234,39;12822,14;19509428,34;19496606,2
2;2017;25/2/2017;;0;;;JET FUEL;50018,84;3328140,37;84031,65;2244,05;3414416,07;3412172,02
2;2017;26/2/2017;034S012017;4;CE-01-2017;PETROBRAS GLOBAL TRADING B.V;MTBE;24184,38;1991723,72;192991,35;1436,8;2186151,87;2184715,07
2;2017;27/2/2017;;0;;;GASOLINA RON 95;150856,15;9379544,31;253438,33;6335,23;9639317,87;9632982,64
2;2017;28/2/2017;030L012017;3;CI-21-2016;GEOGAS TRADING S.A.;LPG;40033,87;1116078,28;319470,28;944,72;1436493,28;1435548,56
3;2017;1/3/2017;026M042017;2;CI-20-2016;VALERO MARKETING & SUPPLY CO.;GASOLINA RON 91;110148,81;6292219,1;185050;4259,4;6481528,5;6477269,1
3;2017;7/3/2017;028D042017;2;CI-20-2016;VALERO MARKETING & SUPPLY CO.;DIESEL 0.0015%S;295907,05;17084526,25;497123,84;11562,65;17593212,74;17581650,09
3;2017;7/3/2017;029A172017;2;CI-01-2016;ASPHALTOS TRADE S.A;ASFALTO AC-30;32148,65;1461346,39;239185,96;1519,42;1702051,77;1700532,35
3;2017;7/3/2017;032L022017;3;CI-21-2016;GEOGAS TRADING S.A.;LPG;38189,96;1111045,59;304755,88;931,73;1416733,2;1415801,47
3;2017;8/3/2017;;0;;;JET FUEL;39940,67;2435382,68;67100,33;1645,78;2504128,79;2502483,01
3;2017;12/3/2017;;0;;;GASOLINA RON 95;170764,78;10301762,12;286884,83;6963,73;10595610,68;10588646,95
3;2017;12/3/2017;031M052017;2;CI-20-2016;VALERO MARKETING & SUPPLY CO.;GASOLINA RON 91;95481,34;5411462,98;160408,65;3664,4;5575536,03;5571871,63
3;2017;19/3/2017;033L032017;3;CI-21-2016;GEOGAS TRADING S.A.;LPG;40109,81;1045771,92;320076,28;898,85;1366747,05;1365848,2
3;2017;19/3/2017;038D052017;3;CI-20-2016;VALERO MARKETING & SUPPLY CO.;DIESEL 0.0015%S;292517,13;16656578,04;492013,81;11277,94;17159869,79;17148591,85
3;2017;21/3/2017;097T012016;3;CI-12-2016;PUMA ENERGY;AV-GAS;940,547619;88346,41;45428,57;87,98;133862,96;133774,98
3;2017;24/3/2017;;0;;;JET FUEL;47271,69;2915724,68;79416,44;1969,78;2997110,9;2995141,12
3;2017;25/3/2017;;0;;;GASOLINA RON 95;160322,21;10310161,27;269341,31;6957,72;10586460,3;10579502,58
3;2017;25/3/2017;036M062017;2;CI-20-2016;VALERO MARKETING & SUPPLY CO.;GASOLINA RON 91;97608,48;5920676,93;163982,25;4001,64;6088660,82;6084659,18
3;2017;26/3/2017;035A182017;2;CI-01-2016;ASPHALTOS TRADE S.A;ASFALTO AC-30;32910,73;1422223,09;244855,83;1489,53;1668568,45;1667078,92
3;2017;26/3/2017;037L042017;3;CI-21-2016;GEOGAS TRADING S.A.;LPG;39676,67;1067479,28;316619,83;910,87;1385009,98;1384099,11
3;2017;31/3/2017;053S022017;4;CI-04-2017;BRASKEM NETHERLANDS B.V;MTBE;23081,41;2000202,53;184189,65;1436,587361;2184392,18;2184392,18
4;2017;4/4/2017;040L052017;3;CI-21-2016;GEOGAS TRADING S.A.;LPG;69698,29;2061640,17;556192,35;1722,78;2619555,3;2617832,52
4;2017;4/4/2017;043L062017;3;CI-21-2016;GEOGAS TRADING S.A.;LPG;50642,13;1486352,69;404124,2;1244,11;1891721;1890476,89
4;2017;5/4/2017;;0;;;JET FUEL;25198,62;1675883,87;42333,68;1130;1719347,55;1718217,55
4;2017;5/4/2017;042D062017;2;CI-20-2016;VALERO MARKETING & SUPPLY CO.;DIESEL 0.0015%S;322111,35;19950791,47;541147,07;13476,73;20505415,27;20491938,54
4;2017;5/4/2017;044F012017;3;CI-02-2017;GLENCORE LTD.;FUEL OIL 3% S;201183,65;8688233,85;615621,97;6118,77;9309974,59;9303855,82
4;2017;7/4/2017;;0;;;GASOLINA RON 95;150580,74;10337417,88;252975,65;6964,88;10597358,41;10590393,53
4;2017;7/4/2017;041M072017;2;CI-20-2016;VALERO MARKETING & SUPPLY CO.;GASOLINA RON 91;100149,1;6509564,72;168250,49;4391,73;6682206,94;6677815,21
