fecha_ejecucion,fecha_base_informacion,periodo_predicho,prediccion,probabilidad_sube
2026-04-25 19:48:46,2026-04-20,2026-04-27,No sube,0.0594594594594594
2026-04-25 19:56:37,2026-04-20 00:00:00,2026-04-27 00:00:00,No sube,0.0594594594594594
2026-04-25 19:59:14,2026-04-20 00:00:00,2026-04-27 00:00:00,No sube,0.05945945945945946
